citizen_id,name,surname,sex,birthday,household_id,occupation_id,branch_id
1,George,JENSEN,m,1935-09-22,1,512,32
2,Cole,JENSEN,m,2009-02-13,1,,
3,Kaitlin,JENSEN,f,2012-05-04,1,,
4,Lyndsey,BERNAL,f,1953-08-17,2,141,29
5,Robert,BERNAL,m,2009-07-01,2,,
6,Matthew,BARTLETT,m,1998-06-01,3,265,32
7,Rachel,BARTLETT,f,2017-06-06,3,,
8,Elijah,BARTLETT,m,2017-09-16,3,,
9,Jake,MCCARTHY,m,1961-06-13,4,315,31
10,Jenna,MCCARTHY,f,1941-02-13,4,343,36
11,Alana,MCCARTHY,f,2007-12-15,4,,
12,Barrie,MCCARTHY,m,1987-12-13,4,512,37
13,Kirsten,MERCADO,f,1944-01-25,5,941,33
14,Patrick,MERCADO,m,1990-01-29,5,931,36
15,Ben,MERCADO,m,2019-10-06,5,,
16,Sonny,MERCADO,m,2009-03-22,5,,
17,Robbie,LAMBERT,m,1985-03-29,6,751,27
18,Leigh,LAMBERT,f,1948-12-09,6,132,35
19,Alexander,LAMBERT,m,2007-11-10,6,,
20,Gary,LAMBERT,m,2018-08-28,6,,
21,Arthur,LAMBERT,m,2007-01-31,6,,
22,Jaxon,BOYER,m,1998-04-24,7,941,31
23,Jill,BOYER,f,1966-11-09,7,512,32
24,Kerry,BOYER,f,2021-01-05,7,,
25,Robin,BOYER,m,2021-10-01,7,,
26,Kayden,BOYER,m,2018-12-17,7,,
27,Olivia,LIU,f,1951-01-23,8,751,37
28,Scott,LIU,m,1977-06-02,8,341,35
29,Cora,LIU,f,2009-11-08,8,,
30,Calvin,LIU,m,2014-07-25,8,,
31,Grayson,LIU,m,2020-10-21,8,,
32,Myles,NEAL,m,1993-11-17,9,811,32
33,Hallie,NEAL,f,1994-08-20,9,832,31
34,Lucas,NEAL,m,2016-05-26,9,,
35,Taylor,NEAL,m,2020-10-21,9,,
36,Linsey,MCGEE,f,1981-03-21,10,512,33
37,Anne,MCGEE,f,2000-06-01,10,833,36
38,Pauline,MURILLO,f,1943-06-07,11,512,30
39,Stewart,MURILLO,m,1976-03-09,11,331,37
40,Clare,MACDONALD,f,1955-10-21,12,931,35
41,Isaac,MACDONALD,m,2020-02-16,12,,
42,Kai,PARRA,m,1963-07-27,13,931,37
43,Courtney,PARRA,f,1965-06-01,13,315,32
44,Greg,PARRA,m,1992-11-14,13,513,32
45,Alan,PARRA,m,1986-05-29,13,512,37
46,Steven,PARRA,m,2008-12-17,13,,
47,Oliver,RICH,m,1941-06-12,14,141,27
48,Indie,PITTS,f,1999-02-23,14,352,31
49,Quinn,MAGANA,f,1989-10-30,14,941,31
50,Rachael,FOSTER,f,1930-11-23,14,312,37
51,Colin,BENNETT,m,1991-12-08,15,512,37
52,Sophie,MCFARLAND,f,1931-10-25,16,512,34
53,Imogen,FRANKLIN,f,1987-02-01,16,512,28
54,Campbell,RIVERS,m,1954-05-10,16,513,34
55,Alana,OCONNELL,f,1949-03-13,16,931,37
56,Luca,MACK,m,1941-02-05,17,833,30
57,Mason,HORNE,m,1945-04-30,17,833,37
58,Sara,GIBSON,f,1942-10-14,17,512,34
59,Maya,GLOVER,f,1949-07-08,18,941,36
60,Peter,ROMERO,m,1972-09-12,18,265,33
61,Gerard,KRAMER,m,1976-04-25,18,315,37
62,Katherine,ANDERSEN,f,1984-08-10,19,322,37
63,Jane,BOWEN,f,1990-01-24,20,931,33
64,Ellen,HAYNES,f,1951-08-05,21,226,48
65,Antony,HAYNES,m,1972-05-17,21,412,44
66,Amelia,HAYNES,f,1999-06-03,21,331,44
67,Kyle,NUNEZ,m,1937-02-19,22,241,48
68,Sophia,NUNEZ,f,1958-03-21,22,132,43
69,Heidi,NUNEZ,f,2016-01-27,22,,
70,Logan,NUNEZ,m,2004-07-28,22,,
71,Adele,NORTON,f,1935-01-20,23,513,40
72,Jake,NORTON,m,2005-10-15,23,,
73,Taylor,RAY,m,1930-06-04,24,513,43
74,Isaac,RAY,m,2001-11-28,24,,
75,Sadie,RAY,f,1991-07-29,24,931,47
76,Jason,RAY,m,1995-09-23,24,941,48
77,Blake,SHAFFER,m,1951-05-18,25,513,48
78,Kim,SHAFFER,f,1994-12-01,25,513,40
79,Greig,SHAFFER,m,2018-07-08,25,,
80,Lachlan,SHAFFER,m,2018-11-24,25,,
81,Rhiannon,DORSEY,f,1947-12-29,26,265,42
82,Amelia,DORSEY,f,2014-02-04,26,,
83,Hannah,DORSEY,f,1977-09-15,26,315,41
84,Willow,DORSEY,f,1985-05-29,26,222,48
85,Harvey,SMALL,m,1992-06-17,27,331,45
86,Nova,SMALL,f,1961-04-19,27,221,47
87,Lena,SMALL,f,2021-01-26,27,,
88,Natalie,SMALL,f,2012-01-09,27,,
89,Nicola,MADDEN,f,1968-04-16,28,241,46
90,Amy,MADDEN,f,2001-04-19,28,,
91,Linsey,NIELSEN,f,1932-11-22,29,352,41
92,Francis,NIELSEN,m,1982-01-02,29,412,44
93,Scott,NIELSEN,m,1958-06-07,29,334,47
94,Orla,STONE,f,1979-02-15,30,315,41
95,Anna,STONE,f,2014-02-15,30,,
96,Barrie,BRIGGS,m,1981-09-16,31,261,45
97,Casey,BRIGGS,f,1953-08-28,31,513,46
98,Amanda,BRIGGS,f,2011-12-11,31,,
99,Natalie,BRIGGS,f,2020-12-19,31,,
100,Rose,WRIGHT,f,1934-04-14,32,412,44
101,Callum,WRIGHT,m,1972-03-26,32,261,46
102,Kara,WRIGHT,f,2015-09-25,32,,
103,Stacy,JARAMILLO,f,1996-08-21,33,933,41
104,Finley,JARAMILLO,m,1992-09-25,33,334,42
105,Adrian,JARAMILLO,m,2020-03-19,33,,
106,Alba,STEWART,f,1992-10-21,34,941,39
107,Frank,CLARKE,m,1959-03-30,34,331,48
108,Roy,MARKS,m,1997-01-03,35,226,47
109,Alyssa,RICHARD,f,1993-10-15,35,222,48
110,Conner,REYES,m,1988-09-21,35,331,43
111,Aoife,OWENS,f,1987-08-27,35,751,48
112,Orla,GREENE,f,1948-08-10,36,222,48
113,Arlo,BALDWIN,m,1976-04-07,36,512,38
114,Kaiden,SHAH,m,1989-12-28,36,315,41
115,Christine,NGUYEN,f,1930-07-14,37,512,46
116,Nicolle,KNOX,f,1996-01-24,37,933,43
117,John,BERNAL,m,1974-11-03,37,315,42
118,Duncan,BENTLEY,m,1963-09-12,38,331,47
119,Sarah,GAINES,f,1965-05-07,38,322,48
120,Thomas,MURILLO,m,1981-05-04,38,315,42
121,Ronan,WEBSTER,m,1964-03-20,38,221,48
122,Euan,BISHOP,m,1941-05-10,39,811,45
123,Jade,ANDRADE,f,1972-02-04,40,941,46
124,Hazel,FARLEY,f,2000-05-17,40,263,48
125,Elijah,DALTON,m,1989-03-10,40,941,40
